transcript	gene	chr	n_exons	tx_start	tx_end	bp	mu_syn	mu_mis	mu_lof	n_syn	n_mis	n_lof	exp_syn	exp_mis	exp_lof	syn_z	mis_z	lof_z	pLI
ENST00000376033.2	PRRC2A	6	30	31590566	31605363	6474	2.85613437056e-05	7.76439251311e-05	7.06970109265e-06	341	862	5	333.320042213	885.158252491	91.2253592133	-0.260783447085336	0.380726117359029	8.94266424324303	0.999999999990663
ENST00000375906.1	GPANK1	6	2	31630042	31632255	1071	4.39911697808e-06	1.11240828883e-05	7.77866093614e-07	43	118	6	50.6811	126.8763714	9.65157781	0.668882492786095	0.385445418611173	1.16431665624896	0.000931901014120056
ENST00000376059.3	AIF1	6	6	31583106	31584677	444	1.80912386231e-06	3.66584270143e-06	4.78649838541e-07	14	43	4	22.0676220328	42.5027086825	7.66573573036	1.06467530999562	-0.0373093662998233	1.31151711300315	0.0127986482867158
ENST00000375911.1	C6orf47	6	1	31626839	31627724	885	3.7242605039e-06	9.20572394471e-06	4.96700778225e-07	40	91	2	42.61575	104.7218677	6.04681997	0.248405133889189	0.655861149848054	1.63019697227641	0.16984783307713
ENST00000375806.2	C6orf25	6	6	31691160	31692851	726	4.97061524138e-06	1.03048234011e-05	6.11491046738e-07	45	91	5	56.3703654183	115.777907587	8.988273428	0.938855261015729	1.12633645443184	1.31776039484261	0.0040376920872826
ENST00000340027.5	NCR3	6	4	31556843	31560498	606	2.93228469229e-06	6.7519363613e-06	4.82579227185e-07	33	68	5	33.8287413792	76.1713860186	6.92382570714	0.0883333828545849	0.457948297234973	0.724239748893028	0.00146130688438596
ENST00000503322.1	MEGT1	6	6	31674683	31685581	1149	5.25643665228e-06	1.16977435086e-05	9.82366272738e-07	55	133	9	59.5002245759	130.145031881	13.2244717511	0.361679547223371	-0.122407729719987	1.1507286318195	2.30552003730605e-05
ENST00000375832.4	LY6G6F	6	6	31674683	31678368	894	3.76615160256e-06	8.81548993052e-06	6.74873340846e-07	42	110	9	42.6149825759	97.4885024813	9.74051278106	0.0584022140219688	-0.619796619472019	0.235034358794585	2.55909344216693e-06
ENST00000375527.2	ZBTB12	6	1	31867702	31869082	1380	9.28950274973e-06	1.91000563995e-05	4.19665672488e-07	79	74	0	105.6711	216.8267565	5.17399623	1.60846749800473	4.74427312237563	2.2532155367475	0.807401018591612
ENST00000415669.2	SAPCD1	6	5	31730831	31732308	537	1.93989677199e-06	5.0007378515e-06	6.89863046253e-07	22	52	10	22.0910785471	54.7195702592	9.54918600848	0.012013347270157	0.179823054264528	-0.144511986418554	2.31956261529551e-07
ENST00000375394.2	SKIV2L	6	28	31926969	31937492	3741	1.68382501937e-05	4.31946314255e-05	3.46215115427e-06	166	391	32	199.666910109	493.808752682	50.3993334859	1.47706476047035	2.26291050744164	2.56731625971804	1.11011779473699e-15
ENST00000375631.4	NEU1	6	6	31827495	31830553	1248	7.07736432469e-06	1.54191024201e-05	1.24776520228e-06	54	127	10	82.70259	177.2162287	16.65201814	1.95664033798376	1.8450516645774	1.61476623537668	1.93153899716433e-05
ENST00000375703.3	MSH5	6	24	31708243	31730308	2508	1.10501116271e-05	2.59715571937e-05	2.80560134897e-06	115	215	19	125.059334211	288.810772077	40.6492090322	0.557646820689243	2.12436759843113	3.36361023144558	6.13879541730601e-08
ENST00000229729.6	SLC44A4	6	21	31831403	31846757	2133	1.12538621033e-05	2.330696719e-05	2.30778318756e-06	89	240	17	127.485312853	254.348530976	32.642563847	2.11307159920913	0.440056419007457	2.71209873231503	8.27829933247523e-08
ENST00000375654.4	HSPA1L	6	1	31777823	31779749	1926	8.71715101742e-06	1.98470787822e-05	8.04533608735e-07	78	200	9	99.18623	225.2906488	9.53462974	1.31879553406998	0.824145800375108	0.171510564220551	2.19040919542089e-06
ENST00000375537.4	EHMT2	6	28	31847860	31865454	3633	2.05869149296e-05	4.77126975052e-05	3.40638769471e-06	190	293	12	221.375956853	511.124596048	47.0321259513	1.30731955220375	4.71908402019744	5.06009717115652	0.0644714712842996
ENST00000375661.5	LSM2	6	5	31765533	31774534	288	1.2338643347e-06	2.64335676807e-06	3.90603795118e-07	11	10	4	15.2849945494	30.3989806357	6.04968275181	0.679464395098268	1.8096531390606	0.825486599693015	0.00596281731563641
ENST00000375349.3	DXO	6	6	31937653	31939452	1191	5.79848334733e-06	1.42435872072e-05	9.53070832453e-07	50	131	14	68.212599	163.8973874	13.3130695	1.36706477482827	1.25687476618262	-0.186493364846225	4.98479742091705e-10
ENST00000375688.4	VWA7	6	16	31733370	31744556	2676	1.37385183038e-05	3.03223047493e-05	2.20594396358e-06	111	262	15	138.026355559	301.488386575	28.239220175	1.42612170218645	1.11237370148769	2.46788965612096	4.28880941939168e-07
ENST00000375333.2	STK19	6	8	31939773	31948826	1107	6.83205302631e-06	1.62051043637e-05	1.35367206517e-06	49	124	7	78.3604081945	180.897274463	17.7879151396	2.05618967971558	2.06915019983746	2.53375534816647	0.00461708135223375
ENST00000375429.3	NELFE	6	10	31920077	31926223	1143	4.50231644147e-06	1.44871143484e-05	1.96954776851e-06	50	112	5	54.6715725599	167.279378296	26.3466256289	0.391680150990736	2.09054014988447	4.1196126140231	0.756273167199129
ENST00000375780.2	CLIC1	6	6	31698618	31704077	726	3.25655080894e-06	6.88348728736e-06	4.66378702179e-07	28	57	4	38.2709624953	77.9519258855	7.60405888681	1.02926181295297	1.16071895327337	1.29466914360899	0.0124562134918973
ENST00000425368.2	CFB	6	18	31913998	31919807	2295	9.8910688641e-06	2.36002860981e-05	2.0923709856e-06	93	200	11	119.611608	274.9398789	31.25073359	1.50845996671019	2.21060258595903	3.58839547426044	0.000978859412496618
ENST00000375663.3	VARS	6	29	31745370	31762994	3795	2.02850818093e-05	4.80354438424e-05	3.76127114496e-06	205	381	11	224.966628812	518.525757153	51.787805055	0.82526714281699	2.95403392161055	5.61443759534863	0.67979413526559
ENST00000299367.5	C2	6	18	31895529	31913134	2259	1.01227089471e-05	2.42981282972e-05	2.13041634642e-06	99	240	15	120.89810098	280.054700022	31.3371887952	1.23465660242276	1.17070781188034	2.89092612493983	1.37888637170214e-06
ENST00000375640.3	C6orf48	6	2	31805105	31807440	228	7.51024000176e-07	1.66758149902e-06	1.3198484606e-07	15	34	5	9.347451	19.7322387	2.33360865	-1.14616509876583	-1.57102871538515	-1.72901814119792	5.82446544381436e-05
ENST00000375023.3	NOTCH4	6	30	32163213	32191705	6012	2.99549468366e-05	6.75444360576e-05	4.45937622627e-06	246	601	27	333.290619088	737.149461571	59.2348539323	2.9641858638267	2.45275807235402	4.14884080124595	1.19532150508521e-10
ENST00000395499.1	AGPAT1	6	6	32137052	32139273	852	4.45518131908e-06	1.06112499716e-05	8.87203704138e-07	35	45	0	52.1574995413	120.682617963	12.3653302799	1.47280442381915	3.3696916542697	3.48331338356604	0.984453681304784
ENST00000360004.5	HLA-DRB1	6	6	32546867	32557519	801	4.08007354867e-06	9.37649934432e-06	8.98142517406e-07	26	54	8	42.2788465047	94.3812249135	11.3714905716	1.5520710541853	2.0330737773704	0.990382475280985	5.62352879494898e-05
ENST00000375050.4	PBX2	6	9	32154158	32157692	1293	7.0531556464e-06	1.59923878894e-05	1.22246297698e-06	43	95	2	75.1757361119	164.180107676	15.6743044685	2.30058952757225	2.64081134410077	3.42137607115706	0.889707316038439
ENST00000447241.2	C6orf10	6	23	32260757	32339483	1692	5.04090091964e-06	1.29579998978e-05	2.28213977432e-06	44	131	25	65.3274248674	153.229519055	34.0342516137	1.63583696715799	0.878364932143369	1.53399445646838	1.22806574585252e-13
ENST00000375203.3	ATF6B	6	18	32083515	32095984	2112	9.72653745404e-06	2.31577178788e-05	1.9216048955e-06	90	186	14	110.494036923	253.05850039	27.4667951639	1.20866751845082	2.06186300249438	2.54536430365178	1.6770144203098e-06
ENST00000375040.3	GPSM3	6	4	32159142	32160290	483	1.72113719195e-06	5.29235621264e-06	4.98910151231e-07	11	45	1	20.5510959643	60.1490310968	6.93165711089	1.30612677387761	0.95540377188129	2.23175854131223	0.609591627820476
ENST00000211413.5	PRRT1	6	4	32116998	32119604	921	9.07483699636e-06	1.49173273975e-05	4.1308342907e-07	26	34	1	74.1305355974	122.067190472	4.86022628493	3.46554564399053	3.89880167476558	1.73449962386177	0.407945729723328
ENST00000451343.1	TNXB	6	13	32009125	32012996	2022	1.30432382057e-05	2.73142616192e-05	1.5955794036e-06	20	45	1	52.9197258724	108.940517206	8.99497299799	2.80541388442335	2.99638637650451	2.64062515377551	0.774153751864359
ENST00000375076.4	AGER	6	11	32148919	32151999	1215	5.0226979401e-06	1.3095274708e-05	1.38312721672e-06	46	154	17	61.0333671559	152.066885253	20.1020130542	1.19294975922988	-0.0766749344701537	0.685351801793954	1.46448261051773e-10
ENST00000375156.3	FKBPL	6	1	32096507	32097557	1050	4.05132907853e-06	1.07336209576e-05	9.5870050843e-07	36	92	8	46.3215	122.0332478	11.28137285	0.940158357581009	1.32977779551491	0.967752506168661	5.3549944756646e-05
ENST00000418967.2	CYP21A2	6	10	32006199	32008911	1488	8.13161996805e-06	1.76457507281e-05	1.11544091202e-06	27	61	2	67.6255299646	145.628641995	12.020706861	3.06262016861517	3.43012762521934	2.86301120367933	0.672306731067129
ENST00000395388.2	HLA-DRA	6	4	32407727	32411687	765	3.17210128943e-06	7.66223802711e-06	5.56591642273e-07	29	63	1	37.616959	88.4911378	7.98268531	0.870987064008249	1.32542703566963	2.44814785210231	0.700164889675938
ENST00000454136.3	BTNL2	6	7	32361745	32374900	1449	6.85561142475e-06	1.39935369484e-05	9.40122165216e-07	68	121	11	73.9442276154	149.059853873	12.201314048	0.428541552840101	1.1241445320686	0.340677117634841	2.02725572868094e-07
ENST00000375094.3	RNF5	6	6	32146288	32148103	543	2.86313158641e-06	6.68486050783e-06	5.13586183884e-07	27	48	5	34.9544527	78.2554443	8.33361649	0.834081374252658	1.67287162271186	1.14390154212822	0.00299042376639745
ENST00000395512.1	EGFL8	6	8	32133942	32135733	882	5.86854030926e-06	1.19539616815e-05	8.76392462678e-07	56	105	10	69.844545	138.7936596	13.28248253	1.02697949537858	1.40303117541297	0.892180005372307	3.51576835152093e-06
ENST00000361568.2	PPT2	6	9	32121403	32130727	927	5.09240248577e-06	1.09728311591e-05	8.85010283351e-07	46	68	2	60.7349046735	125.824414585	13.3664001031	1.17213469929894	2.52141985866382	3.07967866999284	0.772683334522566
ENST00000374975.3	HLA-DRB5	6	6	32485515	32498001	801	4.02636512616e-06	9.39356049212e-06	8.88432417598e-07	12	54	5	28.6658670826	69.2727809643	8.49629532342	1.92972257879034	0.897538809457871	1.18818198913524	0.0032272662883476
ENST00000395289.2	BRD2	6	13	32940675	32948495	2511	9.52187251412e-06	2.48880318797e-05	2.04681754028e-06	169	285	1	107.564638	273.7875634	26.17403829	-3.67226042044176	-0.331442485305599	4.87424301444967	0.999530880243209
ENST00000418107.2	HLA-DMB	6	6	32902747	32908584	792	3.25393795208e-06	7.37304257901e-06	6.43244148999e-07	34	67	5	38.0095907374	83.8637932274	9.43165044903	0.403183599564707	0.900708762284543	1.42942489794532	0.00490510636506002
ENST00000411527.1	HLA-DQB2	6	5	32724229	32731247	684	3.9156386862e-06	8.89037033133e-06	7.45292644404e-07	26	51	4	32.2138189496	72.2669080865	6.97215442951	0.678714238806144	1.22363277505815	1.11500672341714	0.00935592869459469
ENST00000374859.2	PSMB9	6	6	32822006	32827309	660	3.72397102181e-06	8.11501284997e-06	8.10823900541e-07	29	67	3	40.7569441293	86.7612476778	11.2306531113	1.14167634578273	1.03769081785395	2.43288440913689	0.225647028212841
ENST00000354258.4	TAP1	6	11	32813355	32821593	2427	1.37132036641e-05	2.85182443472e-05	1.97974665425e-06	117	196	6	141.155069664	292.15530694	25.2906546814	1.26040468370091	2.75158415988743	3.79976459744628	0.286650163167608
ENST00000418931.2	HLA-DPB1	6	5	33043818	33054015	777	4.52257790786e-06	1.00862798205e-05	8.00496416105e-07	39	63	12	51.5353667874	112.976635931	10.9508843161	1.08251504813735	2.29979395124403	-0.314042550673035	7.18465788950328e-09
ENST00000374677.3	SLC39A7	6	7	33169022	33171590	1410	6.58466310879e-06	1.38620098504e-05	8.3446725759e-07	47	118	5	77.1228772408	158.864721353	12.2035003031	2.12644564663432	1.58580973006633	2.04263641596859	0.0149907535503378
ENST00000419277.1	HLA-DPA1	6	4	33036426	33041347	783	4.02592564231e-06	8.28750697082e-06	4.50454052033e-07	37	69	6	47.290952	95.575568	6.78012305	0.927717780094633	1.32961406788716	0.296779581345476	0.000185717032888532
ENST00000374708.4	COL11A2	6	64	33131454	33160017	4953	2.28470104512e-05	5.41903519844e-05	6.72637663163e-06	241	471	12	253.794518677	570.679075038	92.1734476674	0.497888018567643	2.04091338859818	8.27212974409839	0.999999324603711
ENST00000374685.4	RXRB	6	10	33162458	33168253	1614	8.12888410969e-06	2.01840345633e-05	1.41276597767e-06	51	87	0	78.5528511457	194.954223318	17.3887164243	1.92723654498715	3.78172279771519	4.13069852958418	0.99759435069672
ENST00000374899.4	TAP2	6	11	32790065	32806010	1962	9.67808602893e-06	2.1609753404e-05	1.86236753156e-06	89	176	9	109.529972236	238.309935293	23.9337409791	1.21610716177686	1.97425142280876	3.02379958759407	0.00171341819174486
ENST00000374662.3	HSD17B8	6	9	33172445	33174431	786	4.48924048555e-06	9.80011847066e-06	9.50938543975e-07	32	83	2	45.550711448	98.0064858269	12.9555106972	1.24469785377912	0.741426542588063	3.01505376079282	0.744497984421353
ENST00000229829.5	HLA-DOA	6	5	32974614	32977313	753	4.62852272091e-06	9.38965072706e-06	4.28375572763e-07	39	94	7	51.7477114733	103.398305547	6.57095835058	1.0985910793634	0.452073504143267	-0.165796277173734	1.88487379125175e-05
ENST00000374943.4	HLA-DQB1	6	6	32628012	32634384	810	5.17100997235e-06	1.12968127625e-05	7.40119276581e-07	22	73	2	50.5625741176	108.646626736	8.52497642438	2.49018834813087	1.67273218089936	2.21371674066889	0.353015151654053
ENST00000438763.2	HLA-DOB	6	6	32780992	32784728	822	3.00770964346e-06	7.03917791294e-06	6.22331172484e-07	38	79	7	34.1646218273	76.9851660118	8.83932172132	-0.406789355105666	-0.112318505296875	0.612827056590382	9.08751665004379e-05
ENST00000374882.3	PSMB8	6	6	32808735	32811773	831	4.18295201587e-06	1.04900707397e-05	8.04328229729e-07	46	81	5	49.908295	121.3692803	11.62778473	0.342965925991487	1.79231042328362	1.92534949935657	0.0120031719912635
ENST00000374843.4	HLA-DMA	6	5	32916640	32920813	786	3.75772662173e-06	7.93997590243e-06	5.06303888334e-07	39	72	1	44.6713055	92.0570688	7.83201023	0.526039691489856	1.02248133330167	2.41825204841002	0.687977633420569
ENST00000343139.5	HLA-DQA1	6	4	32605235	32610541	768	3.02269105236e-06	6.95382114134e-06	3.91898606184e-07	13	40	2	35.0890057616	78.9131514039	5.99105195359	2.31174598142138	2.14258521350931	1.61519701785964	0.166625329932453
ENST00000374656.4	RING1	6	6	33176599	33180176	1221	7.0288264279e-06	1.5608101176e-05	9.35201100712e-07	74	74	1	73.5009836965	163.261154599	12.0663575235	-0.0360845124470225	3.41694250773016	3.15577651697942	0.915792421657898
ENST00000374940.3	HLA-DQA2	6	4	32709220	32714171	768	3.14563212677e-06	6.73044387388e-06	3.6866386162e-07	20	59	4	36.4748658459	76.4093640382	5.72921556162	1.69112055618386	0.974150349702833	0.715634462455591	0.00504406368032515
ENST00000451316.1	IP6K3	6	5	33690496	33703253	1233	7.10425652455e-06	1.44470765383e-05	8.0448519975e-07	75	157	4	80.2391681559	161.387668526	11.0187743825	0.362592454480907	0.168934407811881	2.09451923928331	0.0485338526527661
ENST00000374617.4	WDR46	6	15	33247052	33256947	1833	8.16137169241e-06	2.16577318411e-05	2.2967071759e-06	74	215	14	96.5960437451	246.586651284	31.7621193724	1.42528644343824	0.983865861805133	3.1219772623084	8.42034553335386e-06
ENST00000439602.2	RPS18	6	6	33239896	33244243	459	1.65748243081e-06	6.06917082572e-06	7.08989574191e-07	21	10	0	20.4474423863	68.284237924	9.91890645813	-0.0757546803424893	3.44990686178547	3.11976283520224	0.962013320594563
ENST00000374542.5	DAXX	6	7	33286519	33289702	2223	9.28693509393e-06	2.42684393009e-05	1.41705965063e-06	110	220	3	108.156599	277.9001177	18.9892558	-0.109886041904686	1.6988361847318	3.63466176881176	0.842736879816879
ENST00000426633.2	TAPBP	6	7	33271551	33281818	1515	8.72822320743e-06	1.76316417892e-05	1.1642925918e-06	69	162	8	99.2558967514	197.32624689	15.699568648	1.88270109329519	1.23004502154851	1.92491803449106	0.000393581688587975
ENST00000418600.2	SYNGAP1	6	19	33388041	33419683	4032	2.02831563425e-05	5.04845495922e-05	3.34509839737e-06	181	200	1	219.277646823	539.622232558	41.4491920932	1.60249632569679	7.15101336997132	6.22359782773978	0.999998449747972
ENST00000395064.2	ZBTB9	6	1	33422877	33424299	1422	5.47480540098e-06	1.4962484751e-05	6.29323352513e-07	61	140	4	62.44978	169.9471129	7.54946167	0.113732904552723	1.12360682222008	1.27965877939469	0.0121593630542635
ENST00000395131.1	PFDN6	6	4	33257633	33258622	390	1.78065908786e-06	3.93254179428e-06	4.32216010186e-07	13	23	0	20.8466364365	43.5302622511	6.15449814125	1.06540604137225	1.52200219845778	2.457457469294	0.859422179892135
ENST00000497454.1	RGL2	6	17	33259878	33266387	2334	1.1155433165e-05	2.82698189851e-05	2.29657605725e-06	91	239	8	118.489189289	294.537698637	29.8206237185	1.56556886357287	1.58282889910417	3.95820697313925	0.0747682997961984
ENST00000607484.1	UQCC2	6	4	33665429	33679463	381	1.78127292734e-06	4.73535252233e-06	4.99478634755e-07	23	41	3	21.858578	55.3289163	7.33558289	-0.151350534278524	0.942223218528618	1.58569570678081	0.0595477327271092
ENST00000374467.3	BAK1	6	5	33541579	33545381	636	3.15062471516e-06	7.65109659269e-06	6.71798876289e-07	25	64	5	33.553640779	81.4043816075	8.66368725685	0.915441494679577	0.943520058015654	1.23298204554055	0.00348654810029572
ENST00000451237.1	B3GALT4	6	1	33245196	33246333	1137	7.375849155e-06	1.48045657123e-05	9.68710743819e-07	74	89	3	83.989	168.1579597	11.3947905	0.675709835780167	2.98574360872138	2.46346489985295	0.236708748288266
ENST00000374500.5	CUTA	6	6	33384426	33385962	597	4.03774783714e-06	7.18841900553e-06	5.57323239429e-07	26	77	8	48.263102	83.9608569	8.82916682	1.98667805313854	0.37157022418847	0.27642144991287	1.14218167340545e-05
ENST00000445902.2	VPS52	6	20	33218617	33239452	2172	9.18856949448e-06	2.50485187738e-05	2.71343931378e-06	87	175	11	109.640770804	286.439128106	38.7551920868	1.34046392939088	3.22060829362462	4.41640543122437	0.0159632630188721
ENST00000428849.2	KIFC1	6	11	33359762	33377467	2022	8.16177617362e-06	2.35619704332e-05	1.45870013441e-06	105	213	7	96.9062553948	271.294505082	21.054550655	-0.509709595384372	1.73110547128965	3.03412648035228	0.0155780337232565
ENST00000431845.2	ZBTB22	6	1	33282788	33284693	1905	1.04807811565e-05	2.25496340615e-05	9.66631772551e-07	107	169	3	119.1685	255.9111035	11.37123613	0.691043997814154	2.65733998350939	2.45909582761052	0.235099436717728
ENST00000374316.5	ITPR3	6	58	33589379	33663557	8016	4.71433499011e-05	0.000102865509353	5.87916548266e-06	476	763	35	528.216665466	1127.07858517	86.0092717978	1.40848694029275	5.30438319910539	5.44836462513979	4.97536705049387e-12
ENST00000374516.3	PHF1	6	14	33380040	33383875	1704	6.20128661032e-06	1.86050073817e-05	1.46481535491e-06	76	147	0	73.6294277635	209.665873075	21.9286031434	-0.171268117165831	2.11681956091813	4.63868781868728	0.999558759279796
ENST00000594414.1	SBP1	6	1	33663195	33663474	279	1.57085138453e-06	2.75573968489e-06	1.05500413918e-07	13	23	3	15.3062905092928	26.5861701106138	1.35647060765616	0.365450388614517	0.340188361176774	-1.39785448893445	0.00238547209488957
ENST00000311875.5	TCP11	6	10	35086045	35109006	1551	5.74787790952e-06	1.39734264489e-05	9.8783909577e-07	78	159	9	64.1713474424	152.354120988	14.3610455021	-1.07018457354745	-0.26335598215226	1.40134838087776	4.00945484653237e-05
ENST00000538487.2	GRM4	6	10	33990597	34101273	2739	1.86242964577e-05	4.00904264895e-05	1.90921996245e-06	186	294	3	209.33934403	444.00882001	24.8189109033	1.00002733200793	3.48206936366039	4.33841835429957	0.979350085369263
ENST00000447654.1	HMGA1	6	4	34208557	34212661	324	1.84455730095e-06	4.03853130779e-06	3.38538423107e-07	19	13	0	18.7208569143	38.8825490791	3.985206813	-0.0399952704880579	2.03023409052334	1.97749382087322	0.724299774339856
ENST00000374023.3	C6orf106	6	5	34558341	34664380	897	4.36374465708e-06	9.10482807598e-06	6.8509884527e-07	52	44	2	48.9207666769	101.059489171	9.62779010244	-0.272926022948181	2.77623253325476	2.43514663003483	0.454029671085684
ENST00000274938.7	SCUBE3	6	22	35182195	35216482	2982	1.47093622798e-05	3.55465811618e-05	2.75311743766e-06	137	280	2	167.719159202	397.58263308	39.568788075	1.47050994809963	2.88433595745197	5.91616825842305	0.9999837065276
ENST00000311565.4	PPARD	6	6	35378864	35393856	1326	7.66080175178e-06	1.71195632799e-05	6.99116474883e-07	73	108	0	88.8789389498	195.237009479	10.296968493	1.04417081795763	3.05376838514239	3.17866248685191	0.966868134632325
ENST00000244520.5	SNRPC	6	6	34725320	34741347	480	1.69048936972e-06	5.12919599819e-06	5.33383106118e-07	29	15	1	21.2645374214	59.5514948683	8.33177435821	-1.03993829809615	2.82378974236727	2.51611241131497	0.727261777653869
ENST00000293760.5	LEMD2	6	9	33740404	33756893	1512	1.15178262643e-05	2.59687919914e-05	1.44118701701e-06	65	97	4	89.3999340541	203.333558678	16.6774021094	1.59981387046185	3.6473916693536	3.07507530256354	0.302373361272148
ENST00000360359.3	ANKS1A	6	24	34857179	35056386	3405	2.00218470093e-05	3.97867879688e-05	2.51315173696e-06	187	312	7	208.349200801	417.261896481	36.7102435452	0.916927728302626	2.52048034335251	4.85738205685019	0.84685967793139
ENST00000538621.1	PACSIN1	6	9	34494082	34500307	1335	7.87546578559e-06	1.67382177914e-05	1.09102807029e-06	65	91	0	79.4791985942	164.387586668	13.9473401781	1.00685577434939	2.79965582096409	3.69943487920975	0.991339222233708
ENST00000316637.5	DEF6	6	11	35265633	35289187	1896	1.01625664503e-05	2.5717678522e-05	1.74156286766e-06	73	120	2	95.8385469316	235.325286487	20.0942076282	1.44626501989407	3.67711099118002	3.99846979890035	0.976824149100722
ENST00000373953.3	ZNF76	6	13	35248928	35263025	1713	9.39856872279e-06	2.0455991241e-05	1.51794899795e-06	97	225	23	108.515063945	230.4216926	22.0068861114	0.685286366787706	0.174698922206451	-0.209705314352846	5.07288621916122e-16
ENST00000374037.3	SPDEF	6	5	34506050	34512232	1008	6.45179978936e-06	1.33750032958e-05	6.48770345758e-07	66	125	1	67.3366176878	138.094525258	8.130367075	0.100979160269672	0.545025854249643	2.47711695953197	0.711825442176907
ENST00000476320.1	C6orf1	6	3	34214290	34215262	480	1.97960288034e-06	4.34587977675e-06	2.62937009531e-07	32	77	1	21.525451214	45.8961319566	3.71424841343	-1.39961534490484	-2.24565430860146	1.39509513645981	0.29871864309512
ENST00000326199.8	RPS10	6	5	34385282	34392998	498	2.16329909591e-06	6.4789704085e-06	6.60433645168e-07	24	28	0	24.6628770953	68.9996314911	8.96155362012	0.0827489488431549	2.41419872983288	2.96538684022946	0.946462997504496
ENST00000607016.1	NUDT3	6	5	34256529	34360139	519	2.97281277302e-06	6.08339600941e-06	4.17996970653e-07	32	37	0	33.1173843334	66.2323702672	6.55332506874	0.120371142548159	1.75689300583723	2.53583239809466	0.876816622471426
ENST00000430124.2	MLN	6	4	33762601	33768940	348	1.54610149768e-06	3.49200809791e-06	2.58793043578e-07	19	34	4	16.641914333	36.25901362	3.85983679443	-0.358350682992677	0.183496007987255	-0.0706706752502616	0.00165857384360036
ENST00000229769.2	FANCE	6	10	35420322	35434122	1611	8.16374711113e-06	1.72748776298e-05	1.27684062237e-06	74	152	7	65.5557409306	141.456371173	16.7649890826	-0.646555220575765	-0.433604798220358	2.36243478092741	0.00313889923167915
ENST00000192788.5	UHRF1BP1	6	21	34760027	34840215	4323	1.44695969498e-05	3.84678070582e-05	3.22908337267e-06	167	455	19	169.508824076	436.768947647	44.365897775	0.119459134309008	-0.426681172107769	3.77237903306503	2.46541297366596e-07
ENST00000361288.4	TAF11	6	5	34846366	34855734	636	3.57223360242e-06	6.78609574426e-06	4.02300822095e-07	27	53	0	41.9666094711	77.6858369348	6.51981438474	1.43225704924334	1.36991444504866	2.52934048794923	0.875431936618392
ENST00000288065.2	ARMC12	6	6	35704885	35716647	1104	5.39576775921e-06	1.21292824952e-05	1.08128305458e-06	68	150	8	63.649749	139.9418847	14.76574067	-0.338037842521647	-0.415870883127657	1.74412418516661	0.000270201697673098
ENST00000454782.2	PXT1	6	3	36359546	36393859	405	1.0595404335e-06	2.93731409965e-06	3.19388958851e-07	10	35	6	7.931505	20.3841563	3.32139808	-0.455329875899836	-1.58341146279667	-1.45591954881648	1.3167645760551e-05
ENST00000357641.6	BRPF3	6	12	36168099	36198386	3618	1.5626297024e-05	4.15816928042e-05	2.21154978027e-06	177	336	3	175.24170958	457.553563346	28.1369488922	-0.0823424414188303	2.77947853985212	4.69422308830813	0.993940981411932
ENST00000211287.4	MAPK13	6	12	36098359	36107150	1098	6.59556719467e-06	1.36105842511e-05	1.494600623e-06	60	143	13	72.3902039815	146.518717001	20.4465517996	0.902792309455991	0.142184469675807	1.63130382970448	5.48349848830244e-07
ENST00000373825.2	SRPK1	6	16	35803080	35888833	1968	6.49303500577e-06	1.74204618032e-05	2.11164437449e-06	72	149	10	65.8153517287	166.325837062	24.4168391141	-0.472607904013301	0.65709765426671	2.89011427874032	0.000394806789886588
ENST00000322203.6	RPL10A	6	6	35436211	35438527	654	3.60452432268e-06	7.74624721396e-06	5.45291915675e-07	49	33	2	39.0859972956	80.8116560111	7.92953958553	-0.983077605307957	2.60143681157129	2.08586720391774	0.30237883059711
ENST00000229795.3	MAPK14	6	12	35995934	36076224	1083	4.49690344266e-06	1.05791351202e-05	1.07866498477e-06	49	49	0	55.980005	124.8929736	17.25065542	0.578346942856543	3.32161389367474	4.11426774236884	0.997467188213903
ENST00000373715.6	SRSF3	6	5	36564539	36569766	495	1.9192176926e-06	6.82178948306e-06	8.13499847889e-07	25	6	0	23.7480474729	79.1819919618	11.2025852413	-0.159265783332622	4.02260575864483	3.31549909504091	0.976175209668048
ENST00000394571.2	PNPLA1	6	8	36238236	36275493	1599	8.69666648527e-06	1.77920805547e-05	1.24217076906e-06	115	165	8	84.7508	172.1851299	16.12377893	-2.03700154395737	0.267825217377332	2.00407691310209	0.000465200350864785
ENST00000340181.4	ETV7	6	8	36334421	36355318	1026	5.96384577367e-06	1.22123533357e-05	1.18803818574e-06	64	121	13	62.0329634082	125.218891367	14.9568802351	-0.154828675505839	0.184408410636967	0.501225808110886	2.00672826880885e-08
ENST00000360215.1	LHFPL5	6	3	35773447	35787224	660	4.08591073373e-06	8.20853897953e-06	4.0395284499e-07	36	80	1	47.430253904	94.1074684289	5.73610219697	1.02891019780648	0.711301252942064	1.95885522616371	0.494778072886935
ENST00000490799.1	SLC26A8	6	19	35911676	35987484	2913	1.2041587931e-05	2.69360854571e-05	2.24125686864e-06	133	289	17	141.054246912	305.356674807	32.4324217932	0.420415628953543	0.457834396382547	2.68431875912792	7.64803110765732e-08
ENST00000229771.6	TULP1	6	15	35466103	35480635	1629	1.06343330314e-05	2.31271806526e-05	1.77405650098e-06	82	201	4	104.730631817	224.06679406	22.7504656932	1.37696705783082	0.753728737069308	3.89409582206277	0.80790432015979
